customer_id,gender,senior_citizen,partner,dependents,signup_date,tenure_months,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,total_tickets,has_support_ticket,avg_satisfaction_score,avg_monthly_data_gb,avg_monthly_call_minutes,tenure_bucket,annual_revenue_at_risk,total_addons_subscribed,is_churned
0002-ORFBO,Female,0,Yes,Yes,04-10-2023,9,One year,Yes,Mailed check,65.6,593.3,No,Yes,No,DSL,No,Yes,No,Yes,Yes,No,0,No,0,93.13333,769.11111,0-1 Year,0,3,0
0003-MKNFE,Male,0,No,No,04-10-2023,9,Month-to-month,No,Mailed check,59.9,542.4,No,Yes,Yes,DSL,No,No,No,No,No,Yes,2,Yes,3,65.21111,598.55556,0-1 Year,0,1,0
0004-TLHLJ,Male,0,No,No,02-03-2024,4,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,1,Yes,1,84.075,445.5,0-1 Year,886.8,1,1
0011-IGKFF,Male,1,Yes,No,06-06-2023,13,Month-to-month,Yes,Electronic check,98,1237.85,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3,Yes,1.6667,56.06923,539.07692,1-2 Years,1176,4,1
0013-EXCHZ,Female,1,Yes,No,01-04-2024,3,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,3,Yes,3.3333,90.06667,634,0-1 Year,1006.8,2,1
0013-MHZWF,Female,0,No,Yes,04-10-2023,9,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No,Yes,No,DSL,No,No,No,Yes,Yes,Yes,3,Yes,3,82.6,465.77778,0-1 Year,0,3,0
0013-SMEOE,Female,1,Yes,No,31-08-2018,71,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0,No,0,86.87083,602.625,4+ Years,0,6,0
0014-BMAQU,Male,0,Yes,No,28-04-2019,63,Two year,Yes,Credit card (automatic),84.65,5377.8,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,0,No,0,72.71667,723.04167,4+ Years,0,2,0
0015-UOCOJ,Female,1,No,No,03-12-2023,7,Month-to-month,Yes,Electronic check,48.2,340.35,No,Yes,No,DSL,Yes,No,No,No,No,No,1,Yes,3,45.38571,533.42857,0-1 Year,0,1,0
0016-QLJIS,Female,0,Yes,Yes,27-02-2019,65,Two year,Yes,Mailed check,90.45,5957.9,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0,No,0,82.75833,619.45833,4+ Years,0,6,0
0017-DINOC,Male,0,No,No,23-01-2020,54,Two year,No,Credit card (automatic),45.2,2460.55,No,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,1,Yes,4,76.78333,630.20833,4+ Years,0,3,0
0017-IUDMW,Female,0,Yes,Yes,01-08-2018,72,Two year,Yes,Credit card (automatic),116.8,8456.75,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,2.5,51.725,695.125,4+ Years,0,6,0
0018-NYROU,Female,0,Yes,No,01-02-2024,5,Month-to-month,Yes,Electronic check,68.95,351.5,No,Yes,No,Fiber optic,No,No,No,No,No,No,1,Yes,2,104.06,533.6,0-1 Year,0,0,0
0019-EFAEP,Female,0,No,No,01-08-2018,72,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,1,Yes,3,70.6375,635.54167,4+ Years,0,4,0
0019-GFNTW,Female,0,No,No,24-11-2019,56,Two year,No,Bank transfer (automatic),45.05,2560.1,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,3,Yes,4.3333,77.22917,592.95833,4+ Years,0,4,0
